R,G,B,y
189,8,17,-1
246,181,141,1
127,177,178,-1
126,170,173,-1
134,173,188,-1
212,146,114,1
124,88,76,1
17,53,53,-1
8,32,34,-1
1,2,4,-1
17,58,54,-1
26,66,65,-1
22,53,48,-1
163,108,54,1
227,56,72,-1
160,194,196,-1
30,77,83,-1
250,250,248,-1
208,142,107,1
200,122,84,1
0,0,2,-1
24,65,61,-1
127,105,205,-1
116,164,166,-1
138,172,173,-1
16,56,55,-1
122,172,173,-1
112,162,163,-1
163,198,200,-1
213,157,132,1
10,42,39,-1
189,126,72,1
4,30,79,-1
131,175,178,-1
42,92,91,-1
40,94,94,-1
22,56,55,-1
114,168,168,-1
197,139,101,1
123,171,173,-1
149,87,92,-1
132,177,180,-1
198,203,100,-1
160,198,199,-1
68,116,116,-1
121,171,172,-1
193,133,109,1
8,38,38,-1
34,90,91,-1
56,89,60,-1
132,176,179,-1
248,132,141,-1
19,63,64,-1
22,168,147,-1
139,183,184,-1
126,174,176,-1
148,103,48,1
139,179,178,-1
56,114,115,-1
149,101,53,1
14,54,53,-1
149,101,53,1
16,64,66,-1
23,67,66,-1
22,56,55,-1
234,180,154,1
186,107,14,-1
154,196,195,-1
23,64,60,-1
37,83,80,-1
255,193,156,1
85,141,142,-1
151,191,193,-1
123,159,155,-1
18,60,59,-1
20,28,91,-1
149,187,190,-1
160,198,199,-1
171,162,191,-1
140,93,47,1
119,169,170,-1
127,173,173,-1
189,135,135,1
174,114,60,1
222,176,142,1
157,184,103,-1
228,232,243,-1
147,185,188,-1
118,163,166,-1
126,88,79,1
47,167,43,-1
161,100,105,-1
132,178,178,-1
232,119,103,-1
121,171,172,-1
119,168,172,-1
135,180,183,-1
1,7,5,-1
90,139,136,-1
63,113,112,-1
18,28,27,-1
157,192,194,-1
23,59,55,-1
45,95,96,-1
158,198,198,-1
162,200,201,-1
15,59,60,-1
8,34,35,-1
22,62,62,-1
11,20,35,-1
129,177,179,-1
106,137,0,-1
179,122,113,1
8,36,37,-1
227,226,240,-1
221,140,93,1
162,197,199,-1
162,197,199,-1
235,239,248,-1
57,74,81,-1
114,164,163,-1
121,171,172,-1
219,155,119,1
162,198,198,-1
18,52,51,-1
3,17,20,-1
89,145,146,-1
115,166,169,-1
46,77,194,-1
227,183,172,1
121,169,171,-1
79,133,135,-1
126,158,153,-1
167,189,187,-1
131,176,179,-1
80,138,139,-1
87,132,129,-1
144,185,187,-1
156,103,99,1
90,139,136,-1
132,177,182,-1
21,55,54,-1
23,59,57,-1
163,201,202,-1
224,160,116,1
21,57,53,-1
222,151,97,1
151,48,153,-1
223,150,99,1
238,74,98,-1
78,136,137,-1
89,139,138,-1
234,191,175,1
203,137,102,1
214,136,87,1
220,223,238,-1
124,172,174,-1
255,255,128,-1
92,138,250,-1
163,197,199,-1
175,120,117,1
93,138,135,-1
85,139,139,-1
121,171,172,-1
23,59,57,-1
192,197,94,-1
171,116,113,1
17,53,53,-1
126,174,176,-1
131,176,179,-1
29,64,60,-1
2,6,5,-1
33,53,41,-1
35,171,131,-1
98,149,152,-1
131,181,180,-1
88,138,137,-1
95,119,45,-1
24,56,55,-1
118,166,166,-1
251,187,149,1
162,197,199,-1
119,169,168,-1
255,191,153,1
201,140,109,1
132,177,180,-1
159,197,198,-1
251,189,150,1
0,1,4,-1
158,193,197,-1
228,179,138,1
231,179,140,1
127,172,175,-1
120,63,46,1
2,3,5,-1
77,122,128,-1
146,81,61,1
131,175,178,-1
86,140,140,-1
84,140,141,-1
132,176,179,-1
132,176,177,-1
226,150,101,1
157,103,43,1
148,188,190,-1
125,173,175,-1
154,101,57,1
231,183,163,1
171,183,179,-1
90,139,136,-1
9,33,33,-1
4,25,20,-1
91,140,136,-1
10,8,9,-1
134,86,63,1
160,200,202,-1
138,180,179,-1
166,201,203,-1
129,173,174,-1
255,138,0,-1
141,82,66,1
158,110,64,1
130,175,178,-1
27,168,115,-1
163,198,200,-1
30,79,76,-1
188,132,133,1
128,164,164,-1
197,142,147,1
93,138,135,-1
118,162,163,-1
0,10,9,-1
191,123,88,1
187,122,58,1
161,105,48,1
23,73,70,-1
30,80,79,-1
229,182,172,1
146,186,186,-1
140,182,181,-1
60,68,55,-1
88,134,131,-1
160,201,203,-1
255,218,210,1
186,197,215,-1
17,29,27,-1
216,142,93,1
158,196,197,-1
15,38,20,-1
122,166,169,-1
126,172,172,-1
126,174,176,-1
139,179,179,-1
1,15,16,-1
242,218,110,-1
134,180,180,-1
254,122,60,-1
222,170,131,1
22,60,61,-1
6,10,11,-1
255,196,162,1
219,226,244,-1
153,143,133,-1
23,138,19,-1
248,202,187,1
255,252,2,-1
21,61,61,-1
102,24,108,-1
112,108,105,-1
249,244,241,-1
124,168,169,-1
28,62,61,-1
27,68,64,-1
141,94,52,1
14,68,70,-1
31,77,75,-1
32,88,89,-1
21,60,55,-1
0,7,6,-1
1,15,18,-1
127,79,65,1
126,172,172,-1
161,153,150,-1
25,27,26,-1
14,64,63,-1
194,142,102,1
224,153,123,1
172,117,114,1
123,144,145,-1
133,178,181,-1
39,54,51,-1
131,175,178,-1
223,223,223,-1
164,112,64,1
58,116,117,-1
121,171,172,-1
135,179,180,-1
146,186,186,-1
101,143,139,-1
105,112,226,-1
30,79,76,-1
246,245,243,-1
141,185,186,-1
84,144,144,-1
23,62,57,-1
12,31,97,-1
29,77,79,-1
112,162,163,-1
226,153,102,1
113,164,165,-1
250,251,246,-1
127,166,163,-1
135,179,182,-1
162,200,201,-1
63,112,109,-1
255,119,47,-1
93,135,133,-1
128,128,128,-1
134,178,181,-1
53,111,112,-1
61,110,107,-1
138,182,181,-1
156,192,192,-1
153,191,192,-1
132,176,179,-1
122,129,77,-1
220,168,129,1
94,146,144,-1
63,76,56,-1
82,136,138,-1
18,52,51,-1
108,173,175,-1
139,166,173,-1
125,171,171,-1
220,143,97,1
38,42,41,-1
109,158,128,-1
95,147,145,-1
128,160,157,-1
1,0,0,-1
65,123,124,-1
122,168,168,-1
91,78,131,-1
0,128,255,-1
217,165,126,1
148,92,95,-1
157,195,196,-1
91,131,130,-1
135,179,182,-1
43,98,101,-1
226,158,123,1
198,200,99,-1
130,178,178,-1
24,65,61,-1
69,88,105,-1
138,184,184,-1
230,182,144,1
135,88,44,1
6,22,22,-1
5,23,27,-1
229,162,135,1
92,141,137,-1
31,46,15,-1
16,52,50,-1
137,183,183,-1
149,189,191,-1
129,170,166,-1
10,34,34,-1
117,167,168,-1
152,193,195,-1
176,117,109,1
121,171,172,-1
17,28,24,-1
77,97,232,-1
86,140,140,-1
70,97,150,-1
167,50,69,-1
19,28,23,-1
127,172,175,-1
122,162,161,-1
49,50,52,-1
131,166,162,-1
160,89,157,-1
121,95,194,-1
165,109,52,1
136,184,186,-1
153,194,196,-1
117,159,157,-1
220,139,94,1
125,173,175,-1
102,150,150,-1
129,177,179,-1
255,191,149,1
191,193,92,-1
21,56,52,-1
185,121,60,1
128,92,80,1
129,177,179,-1
0,2,3,-1
90,132,130,-1
142,83,51,1
0,8,5,-1
123,173,174,-1
17,59,58,-1
153,193,195,-1
253,209,200,1
92,141,138,-1
129,177,179,-1
5,35,37,-1
22,56,55,-1
255,0,0,-1
122,171,178,-1
119,168,172,-1
133,89,80,1
105,154,151,-1
196,118,80,1
180,117,84,1
253,190,147,1
99,135,133,-1
207,142,86,1
154,101,97,1
223,152,98,1
235,178,159,1
250,208,196,1
193,0,8,-1
254,252,255,-1
88,122,121,-1
156,194,195,-1
128,80,66,1
21,55,54,-1
230,118,107,-1
43,65,63,-1
138,93,51,1
46,48,47,-1
121,171,172,-1
137,179,178,-1
125,173,175,-1
210,215,112,-1
90,140,139,-1
3,27,27,-1
162,200,201,-1
233,178,78,-1
113,163,164,-1
227,161,129,1
112,157,152,-1
119,169,170,-1
8,12,13,-1
25,37,35,-1
255,208,202,1
160,200,200,-1
104,134,2,-1
236,195,177,1
125,160,154,-1
23,63,62,-1
216,179,220,-1
90,139,136,-1
104,154,153,-1
243,186,143,1
21,55,54,-1
129,177,179,-1
127,177,178,-1
109,163,165,-1
104,154,153,-1
0,34,34,-1
3,0,0,-1
220,152,113,1
138,182,183,-1
135,179,182,-1
16,50,51,-1
208,149,109,1
158,150,148,-1
27,76,73,-1
131,175,178,-1
41,55,56,-1
0,14,20,-1
254,219,31,-1
31,73,72,-1
46,46,48,-1
254,190,152,1
213,151,112,1
7,33,32,-1
89,134,131,-1
162,200,201,-1
123,154,198,-1
235,187,173,1
192,119,78,1
219,167,128,1
31,169,120,-1
194,129,99,1
86,142,143,-1
250,204,181,1
36,90,92,-1
231,177,165,1
93,134,130,-1
23,68,63,-1
49,59,61,-1
219,171,131,1
87,132,129,-1
255,214,202,1
20,56,52,-1
20,60,60,-1
141,185,186,-1
222,226,238,-1
141,175,176,-1
12,33,34,-1
34,80,80,-1
234,173,168,1
114,155,151,-1
218,220,233,-1
97,147,146,-1
204,135,68,1
120,170,171,-1
213,132,87,1
121,172,173,-1
158,198,198,-1
145,98,54,1
144,189,192,-1
212,156,123,1
72,92,29,-1
11,45,44,-1
107,156,153,-1
138,180,179,-1
113,163,164,-1
157,100,181,-1
250,245,239,-1
158,102,45,1
7,35,38,-1
20,54,53,-1
142,174,197,-1
138,182,181,-1
145,191,191,-1
105,151,149,-1
144,185,187,-1
162,197,199,-1
6,22,19,-1
238,28,55,-1
111,160,164,-1
91,107,107,-1
236,176,152,1
24,69,62,-1
22,62,61,-1
255,255,0,-1
95,151,152,-1
156,194,195,-1
121,157,153,-1
213,144,113,1
221,169,130,1
85,141,142,-1
0,128,0,-1
220,221,252,-1
69,167,80,-1
92,130,131,-1
130,130,130,-1
4,43,42,-1
89,77,127,-1
142,91,36,1
132,177,180,-1
33,64,59,-1
86,137,138,-1
230,180,147,1
11,37,36,-1
22,57,53,-1
30,79,76,-1
133,181,181,-1
129,161,160,-1
246,179,136,1
119,119,121,-1
223,223,225,-1
125,173,175,-1
92,141,138,-1
95,147,145,-1
173,203,205,-1
135,179,182,-1
19,155,135,-1
223,159,123,1
217,143,144,-1
228,179,146,1
215,151,115,1
131,179,181,-1
129,164,160,-1
135,181,181,-1
7,43,41,-1
31,73,72,-1
168,143,112,1
132,176,179,-1
136,181,184,-1
160,195,197,-1
13,54,50,-1
126,161,157,-1
221,153,104,1
20,40,12,-1
59,117,118,-1
1,15,15,-1
222,228,240,-1
147,187,189,-1
76,89,157,-1
22,61,56,-1
25,71,69,-1
150,190,192,-1
221,178,144,1
58,108,105,-1
75,208,227,-1
163,197,199,-1
0,0,0,-1
67,117,116,-1
125,173,175,-1
126,172,172,-1
127,173,173,-1
40,90,91,-1
164,199,201,-1
122,172,173,-1
246,67,89,-1
22,56,55,-1
226,152,105,1
151,100,45,1
130,175,172,-1
0,12,19,-1
23,59,55,-1
23,166,146,-1
140,182,181,-1
130,179,183,-1
130,175,178,-1
120,170,169,-1
1,9,11,-1
135,183,185,-1
1,25,29,-1
26,70,69,-1
0,0,2,-1
230,187,170,1
150,183,162,-1
0,1,2,-1
148,186,189,-1
149,199,161,-1
116,166,165,-1
164,106,92,1
248,255,0,-1
153,191,192,-1
131,177,177,-1
246,134,123,-1
81,132,133,-1
115,163,165,-1
106,156,155,-1
190,29,47,-1
43,85,81,-1
137,90,48,1
27,63,63,-1
91,140,137,-1
155,190,192,-1
26,72,70,-1
9,35,36,-1
128,176,178,-1
162,196,198,-1
211,157,119,1
134,171,177,-1
250,185,145,1
152,192,192,-1
22,168,147,-1
94,146,144,-1
125,173,175,-1
43,83,83,-1
47,105,106,-1
92,136,135,-1
217,157,120,1
81,119,120,-1
162,97,161,-1
199,154,151,-1
0,18,20,-1
56,114,115,-1
129,177,179,-1
212,218,232,-1
255,84,108,-1
209,143,111,1
134,179,182,-1
7,21,22,-1
121,160,157,-1
114,162,164,-1
127,86,80,1
34,88,90,-1
134,180,180,-1
18,54,52,-1
163,100,47,1
226,228,243,-1
3,31,32,-1
160,108,190,-1
223,153,117,1
224,151,118,1
96,145,142,-1
134,179,182,-1
181,121,59,1
24,64,63,-1
128,0,255,-1
32,81,78,-1
217,143,96,1
33,87,89,-1
113,161,163,-1
208,51,78,-1
34,86,84,-1
156,194,195,-1
1,0,0,-1
21,67,65,-1
132,176,179,-1
189,140,99,1
106,160,162,-1
125,173,175,-1
162,200,201,-1
79,137,138,-1
5,9,10,-1
30,46,33,-1
220,171,138,1
169,139,115,1
129,164,160,-1
0,14,15,-1
3,14,16,-1
159,105,58,1
113,161,163,-1
193,134,100,1
187,7,16,-1
141,181,181,-1
22,70,70,-1
6,7,11,-1
135,179,180,-1
120,172,170,-1
129,181,179,-1
157,197,197,-1
211,149,110,1
120,165,168,-1
15,15,13,-1
88,137,134,-1
9,33,37,-1
183,124,66,1
38,89,92,-1
220,146,99,1
86,142,143,-1
2,16,19,-1
115,163,167,-1
119,168,172,-1
132,178,178,-1
121,171,172,-1
171,117,73,1
232,179,165,1
247,255,3,-1
224,175,134,1
5,17,99,-1
254,191,150,1
96,148,146,-1
22,63,59,-1
228,169,161,1
123,135,157,-1
136,73,56,1
115,166,167,-1
53,111,112,-1
254,214,204,1
225,147,98,1
0,2,3,-1
101,152,153,-1
113,161,163,-1
187,6,15,-1
89,139,138,-1
132,94,81,1
21,56,52,-1
4,23,27,-1
75,103,42,-1
22,71,68,-1
137,183,183,-1
230,234,243,-1
229,160,131,1
132,176,177,-1
154,191,235,-1
136,146,145,-1
233,180,164,1
218,193,225,-1
86,144,145,-1
109,160,163,-1
11,43,42,-1
34,35,37,-1
15,49,51,-1
119,80,39,1
43,98,95,-1
255,215,205,1
129,174,177,-1
255,136,0,-1
250,250,248,-1
182,116,55,1
127,163,161,-1
185,120,62,1
87,129,128,-1
131,93,84,1
8,34,35,-1
0,128,0,-1
213,138,96,1
140,138,139,-1
114,162,162,-1
120,170,171,-1
87,143,144,-1
226,160,128,1
21,60,55,-1
18,60,58,-1
129,174,177,-1
124,163,160,-1
156,110,58,1
209,49,75,-1
231,185,169,1
113,163,164,-1
137,181,182,-1
167,197,199,-1
217,148,107,1
216,165,120,1
92,131,128,-1
126,179,171,-1
33,33,31,-1
179,110,77,1
156,92,44,1
25,71,69,-1
132,180,182,-1
57,115,116,-1
253,189,151,1
132,178,178,-1
142,186,185,-1
163,198,200,-1
128,176,178,-1
125,161,157,-1
111,159,161,-1
41,70,14,-1
124,84,72,1
164,195,198,-1
6,32,31,-1
31,56,52,-1
164,101,48,1
29,75,73,-1
138,172,171,-1
114,159,156,-1
182,218,182,-1
16,55,54,-1
161,108,104,1
12,55,61,-1
232,188,159,1
114,165,166,-1
146,140,128,-1
156,91,99,-1
135,175,175,-1
213,142,90,1
255,255,255,-1
122,170,172,-1
11,45,44,-1
20,60,60,-1
127,162,158,-1
124,168,171,-1
0,4,3,-1
29,80,83,-1
132,176,177,-1
125,173,175,-1
131,176,179,-1
13,16,21,-1
88,137,134,-1
18,30,90,-1
65,115,114,-1
170,204,205,-1
205,152,110,1
47,79,78,-1
192,123,64,1
36,90,92,-1
7,33,32,-1
124,172,174,-1
228,162,138,1
150,106,45,1
25,55,55,-1
70,120,119,-1
89,139,140,-1
162,197,199,-1
160,195,197,-1
107,163,160,-1
24,44,45,-1
133,178,181,-1
224,158,124,1
22,63,65,-1
134,178,181,-1
24,64,63,-1
191,121,85,1
116,166,175,-1
193,202,219,-1
54,70,43,-1
111,161,162,-1
99,68,37,-1
147,85,90,-1
255,92,115,-1
126,167,171,-1
169,105,59,1
217,145,97,1
125,173,177,-1
147,143,131,-1
2,1,6,-1
44,98,98,-1
95,144,141,-1
8,36,37,-1
125,173,173,-1
80,136,137,-1
224,186,227,-1
126,174,176,-1
87,132,129,-1
20,62,61,-1
135,179,182,-1
227,173,129,1
81,135,135,-1
115,163,165,-1
21,57,53,-1
191,133,95,1
12,42,42,-1
220,178,138,1
230,165,145,1
104,130,131,-1
88,133,126,-1
209,150,110,1
14,50,50,-1
27,34,26,-1
18,54,52,-1
91,141,140,-1
255,148,121,-1
133,178,181,-1
251,188,145,1
103,135,134,-1
21,55,54,-1
138,90,52,1
79,70,73,-1
130,165,161,-1
19,61,59,-1
132,178,178,-1
123,167,168,-1
134,182,184,-1
1,15,15,-1
217,165,126,1
162,181,179,-1
25,74,71,-1
112,152,152,-1
134,176,175,-1
143,93,92,1
95,117,55,-1
88,138,137,-1
127,87,79,1
255,128,1,-1
131,175,178,-1
255,255,0,-1
0,8,90,-1
123,171,173,-1
224,175,161,1
176,1,0,-1
224,143,96,1
121,160,157,-1
210,216,232,-1
0,14,14,-1
126,172,172,-1
154,13,0,-1
2,17,20,-1
125,161,157,-1
205,149,112,1
116,164,164,-1
144,176,171,-1
103,152,149,-1
154,192,193,-1
224,160,122,1
221,162,148,1
251,187,149,1
0,6,2,-1
4,14,16,-1
138,184,184,-1
213,154,148,-1
156,191,195,-1
0,8,9,-1
66,48,98,-1
31,77,74,-1
139,181,180,-1
125,173,173,-1
128,176,176,-1
128,0,255,-1
236,228,225,-1
28,84,83,-1
125,169,172,-1
124,172,174,-1
215,220,120,-1
22,57,53,-1
232,184,170,1
150,191,193,-1
135,179,182,-1
171,107,59,1
107,158,159,-1
159,197,198,-1
5,35,35,-1
248,226,114,-1
17,26,91,-1
112,160,162,-1
2,11,16,-1
126,176,177,-1
78,132,132,-1
238,234,231,-1
22,57,53,-1
128,83,77,1
90,139,136,-1
160,196,196,-1
120,169,173,-1
3,0,2,-1
15,47,24,-1
119,66,52,1
210,167,124,1
249,185,147,1
98,148,147,-1
0,128,0,-1
93,132,131,-1
5,15,16,-1
240,179,134,-1
143,183,183,-1
7,35,36,-1
154,194,194,-1
2,17,20,-1
114,163,167,-1
170,117,111,1
152,193,195,-1
219,85,58,-1
10,12,9,-1
23,59,57,-1
135,169,178,-1
181,117,56,1
0,128,255,-1
158,196,197,-1
132,176,179,-1
48,72,36,-1
211,141,105,1
131,179,181,-1
88,140,138,-1
122,170,170,-1
73,86,95,-1
132,178,178,-1
49,164,125,-1
174,2,2,-1
34,80,78,-1
73,123,122,-1
23,59,57,-1
105,155,152,-1
135,179,180,-1
165,103,52,1
99,135,133,-1
22,58,56,-1
129,177,179,-1
10,134,14,-1
238,183,83,-1
157,197,197,-1
37,48,50,-1
120,140,141,-1
144,82,31,1
99,149,148,-1
114,162,164,-1
255,187,255,-1
174,119,116,1
131,176,179,-1
217,163,125,1
111,165,167,-1
125,161,157,-1
98,143,174,-1
251,186,146,1
252,214,203,1
4,10,10,-1
163,197,199,-1
115,160,157,-1
135,179,180,-1
9,41,40,-1
248,188,154,1
86,142,143,-1
143,92,47,1
99,149,148,-1
173,111,62,1
162,197,199,-1
110,160,157,-1
255,255,255,-1
6,6,6,-1
162,108,61,1
14,53,52,-1
27,62,64,-1
152,192,192,-1
126,174,176,-1
130,176,176,-1
28,68,67,-1
170,204,205,-1
134,180,180,-1
33,53,51,-1
130,178,178,-1
118,167,164,-1
253,189,151,1
201,126,61,1
115,163,167,-1
94,143,140,-1
251,42,73,-1
20,139,21,-1
159,194,236,-1
178,253,255,-1
87,139,137,-1
25,69,68,-1
185,132,101,1
10,20,21,-1
85,139,141,-1
216,154,117,1
91,142,145,-1
115,165,166,-1
119,169,170,-1
219,174,155,1
23,69,67,-1
180,179,187,-1
8,7,5,-1
130,178,180,-1
255,191,153,1
130,178,178,-1
90,139,136,-1
30,79,76,-1
135,179,182,-1
124,84,74,1
12,18,18,-1
34,84,83,-1
7,41,43,-1
9,51,50,-1
221,224,239,-1
123,164,166,-1
134,175,179,-1
114,162,166,-1
176,121,118,1
162,200,201,-1
21,55,54,-1
251,195,12,-1
5,23,11,-1
126,160,159,-1
163,198,202,-1
72,89,37,-1
209,156,112,1
0,7,9,-1
120,170,171,-1
5,20,23,-1
121,169,171,-1
216,172,137,1
163,198,200,-1
103,153,152,-1
85,105,138,-1
194,153,149,-1
192,201,216,-1
25,51,48,-1
7,33,32,-1
91,155,121,-1
153,98,181,-1
86,165,48,-1
96,124,127,-1
141,93,44,1
239,48,55,-1
103,91,105,-1
168,131,104,1
195,245,252,-1
16,57,61,-1
24,56,53,-1
51,73,24,-1
27,24,91,-1
118,160,158,-1
218,206,206,-1
245,180,140,1
60,118,119,-1
109,155,153,-1
130,176,176,-1
112,160,162,-1
3,45,43,-1
30,70,72,-1
131,175,178,-1
123,168,173,-1
255,102,51,-1
86,128,124,-1
85,143,144,-1
62,120,121,-1
156,196,196,-1
145,26,142,-1
217,148,109,1
147,187,187,-1
147,189,188,-1
121,172,173,-1
135,181,181,-1
124,0,127,-1
17,57,56,-1
162,196,198,-1
231,179,166,1
150,192,191,-1
189,248,252,-1
5,17,99,-1
251,127,1,-1
20,52,49,-1
255,189,147,1
142,0,38,-1
163,194,196,-1
8,34,35,-1
218,173,154,1
152,192,192,-1
51,105,105,-1
133,178,181,-1
162,200,201,-1
121,171,172,-1
245,244,239,-1
25,66,62,-1
14,46,43,-1
93,81,83,-1
129,171,170,-1
17,29,87,-1
252,38,66,-1
103,146,178,-1
104,154,155,-1
1,5,8,-1
3,14,16,-1
130,175,178,-1
21,62,58,-1
223,153,104,1
122,158,156,-1
0,16,18,-1
106,155,152,-1
107,159,157,-1
222,164,118,1
36,87,90,-1
145,185,187,-1
215,162,118,1
138,182,183,-1
5,13,16,-1
27,66,63,-1
95,151,152,-1
165,196,198,-1
130,175,178,-1
130,174,177,-1
2,17,20,-1
230,166,139,1
129,171,167,-1
151,193,192,-1
224,178,162,1
134,180,180,-1
149,189,191,-1
133,133,133,-1
82,107,111,-1
61,119,120,-1
17,29,29,-1
160,195,197,-1
120,159,156,-1
42,46,45,-1
125,85,73,1
3,14,16,-1
179,114,56,1
22,56,55,-1
45,101,100,-1
18,59,55,-1
205,143,102,1
254,196,159,1
251,184,141,1
168,0,3,-1
104,153,150,-1
134,178,181,-1
8,40,37,-1
253,189,151,1
125,173,173,-1
154,192,193,-1
152,91,96,-1
225,165,141,1
134,178,181,-1
25,71,69,-1
186,249,254,-1
236,188,174,1
1,0,0,-1
26,72,70,-1
159,194,198,-1
68,119,120,-1
84,135,136,-1
121,171,172,-1
9,55,53,-1
31,75,74,-1
255,255,253,-1
32,74,72,-1
24,74,71,-1
159,194,198,-1
129,166,112,-1
180,114,80,1
0,255,128,-1
254,211,202,1
163,201,202,-1
154,101,57,1
101,157,158,-1
131,175,178,-1
87,143,144,-1
169,201,200,-1
158,193,197,-1
2,16,16,-1
234,182,168,1
133,181,183,-1
133,179,179,-1
163,198,200,-1
255,194,157,1
97,144,174,-1
222,160,119,1
0,0,0,-1
252,188,150,1
252,188,144,1
58,79,134,-1
128,174,174,-1
150,190,190,-1
125,173,175,-1
221,147,102,1
90,144,146,-1
118,166,166,-1
228,179,165,1
179,124,121,1
231,182,167,1
70,90,29,-1
130,166,130,-1
125,173,175,-1
26,70,69,-1
161,196,198,-1
25,69,68,-1
133,71,50,1
222,183,150,1
223,158,128,1
133,178,181,-1
103,120,138,-1
169,199,201,-1
141,183,182,-1
192,157,153,-1
255,255,0,-1
132,180,182,-1
254,217,209,1
19,35,24,-1
162,200,201,-1
158,198,198,-1
252,188,150,1
217,165,126,1
75,100,58,-1
134,134,134,-1
162,200,201,-1
37,78,74,-1
147,108,109,-1
177,122,119,1
21,71,68,-1
88,140,138,-1
115,163,163,-1
125,173,175,-1
81,137,138,-1
133,181,181,-1
132,175,181,-1
254,190,152,1
159,195,193,-1
22,56,55,-1
25,71,69,-1
9,9,11,-1
226,160,128,1
1,178,0,-1
97,143,141,-1
184,247,252,-1
116,165,169,-1
140,84,171,-1
166,102,56,1
112,161,165,-1
140,180,179,-1
135,176,178,-1
112,160,162,-1
150,13,3,-1
202,207,247,-1
229,180,165,1
157,195,196,-1
23,59,55,-1
244,136,124,-1
137,72,52,1
132,180,182,-1
244,176,137,1
132,176,179,-1
148,97,80,1
162,200,201,-1
109,37,38,-1
255,0,0,-1
2,16,19,-1
105,151,149,-1
76,164,54,-1
114,34,47,-1
141,169,172,-1
119,160,154,-1
200,194,194,-1
99,151,149,-1
135,183,185,-1
130,178,180,-1
177,152,132,1
144,186,184,-1
227,153,108,1
119,169,168,-1
191,112,71,1
117,162,155,-1
87,127,126,-1
125,173,175,-1
1,0,0,-1
165,199,201,-1
206,148,124,1
230,165,147,1
80,98,122,-1
135,179,180,-1
126,171,176,-1
126,174,176,-1
113,158,155,-1
32,44,42,-1
162,200,201,-1
27,73,71,-1
128,173,176,-1
88,138,137,-1
97,146,143,-1
89,131,129,-1
214,54,82,-1
118,164,162,-1
235,98,126,-1
35,60,30,-1
51,51,51,-1
162,56,16,-1
224,180,141,1
255,193,152,1
131,178,172,-1
160,94,166,-1
127,83,74,1
85,131,129,-1
58,52,54,-1
25,70,63,-1
163,201,202,-1
130,178,180,-1
85,126,234,-1
223,147,95,1
121,171,178,-1
18,157,138,-1
164,199,201,-1
254,214,206,1
130,175,178,-1
22,58,54,-1
0,6,6,-1
156,194,195,-1
95,146,149,-1
3,8,14,-1
30,69,64,-1
142,160,162,-1
181,121,71,1
180,194,207,-1
147,96,51,1
77,91,118,-1
120,170,171,-1
220,171,139,1
126,171,174,-1
217,140,94,1
122,171,175,-1
19,65,65,-1
50,78,82,-1
135,179,182,-1
87,127,126,-1
45,85,87,-1
24,65,61,-1
112,162,163,-1
155,193,194,-1
221,144,98,1
132,172,171,-1
203,120,130,-1
88,83,124,-1
239,187,173,1
30,75,72,-1
107,157,156,-1
135,179,180,-1
185,175,176,-1
145,188,197,-1
96,137,143,-1
162,200,201,-1
117,158,154,-1
122,78,75,1
25,69,68,-1
202,207,104,-1
5,31,30,-1
119,169,170,-1
112,160,162,-1
130,90,78,1
144,93,40,1
97,148,151,-1
255,194,155,1
25,66,62,-1
160,195,197,-1
158,196,197,-1
152,190,191,-1
44,167,40,-1
35,84,81,-1
142,184,183,-1
85,143,144,-1
247,189,152,1
134,162,165,-1
170,204,205,-1
1,40,37,-1
123,159,155,-1
167,201,203,-1
85,107,35,-1
0,0,0,-1
216,140,90,1
130,92,83,1
16,52,52,-1
127,173,173,-1
247,244,237,-1
8,38,38,-1
116,160,159,-1
0,4,7,-1
251,186,146,1
230,183,167,1
157,92,100,-1
112,160,164,-1
143,184,186,-1
117,165,165,-1
27,69,67,-1
168,114,202,-1
112,166,168,-1
89,145,146,-1
202,145,102,1
255,192,154,1
235,196,165,1
3,16,22,-1
152,192,192,-1
132,138,136,-1
153,193,195,-1
91,136,133,-1
216,151,119,1
92,137,134,-1
199,158,4,-1
115,163,165,-1
137,181,180,-1
176,114,99,1
221,174,132,1
100,152,150,-1
151,107,46,1
112,160,162,-1
157,197,197,-1
230,167,150,1
214,78,54,-1
159,194,196,-1
137,183,183,-1
117,165,165,-1
132,180,182,-1
162,200,201,-1
20,59,54,-1
129,165,161,-1
123,173,174,-1
163,201,202,-1
113,163,164,-1
120,162,158,-1
132,180,182,-1
149,97,50,1
255,193,155,1
192,129,96,1
136,187,188,-1
67,119,117,-1
255,255,255,-1
194,0,0,-1
138,182,183,-1
253,215,204,1
128,128,128,-1
144,185,187,-1
90,139,136,-1
138,179,183,-1
255,238,255,-1
58,78,76,-1
170,201,203,-1
223,150,97,1
127,0,129,-1
132,176,179,-1
138,179,181,-1
121,171,172,-1
59,117,118,-1
221,87,60,-1
154,192,193,-1
156,190,191,-1
154,146,135,-1
184,176,173,-1
100,152,150,-1
92,150,151,-1
175,116,108,1
170,204,205,-1
234,173,152,1
217,96,150,-1
132,92,80,1
221,157,145,1
50,148,9,-1
123,171,173,-1
143,90,36,1
112,163,164,-1
99,153,155,-1
129,177,179,-1
163,197,199,-1
136,136,134,-1
1,5,6,-1
36,56,89,-1
19,58,57,-1
167,201,238,-1
115,159,158,-1
225,151,102,1
208,53,85,-1
